0: [77.3126357751398, 28.5784406732737]
1: [77.3123809972329, 28.5786858054497]
2: [77.3119558942379, 28.5791864932703]
3: [77.3116514108557, 28.579750894978]
4: [77.3114794747923, 28.5803569000975]
5: [77.3114468213997, 28.580980768728]
6: [77.3115547298284, 28.5815980615992]
7: [77.3117989729183, 28.5821845974603]
8: [77.3121699827918, 28.5827174002961]
9: [77.3126532256619, 28.5831755992715]
10: [77.3127381256619, 28.5832415977888]
11: [77.3127590691626, 28.5832577517768]
12: [77.3130871691627, 28.5835088460972]
13: [77.3131246394424, 28.5835371263181]
14: [77.3132836463848, 28.5836554753747]
15: [77.3136127332118, 28.5839066374146]
16: [77.3136855168927, 28.5839607149102]
17: [77.3139903397611, 28.5841811684879]
18: [77.3140150087075, 28.5841999515215]
19: [77.314037835154, 28.584217185107]
20: [77.314455935154, 28.5845301779602]
21: [77.3144593983533, 28.584532767212]
22: [77.3146536318608, 28.5846777991714]
23: [77.3152349363762, 28.5851187516821]
24: [77.3152913910293, 28.5851606926817]
25: [77.3157017100478, 28.5854592175739]
26: [77.3164740318818, 28.5860217588612]
27: [77.3170635774183, 28.5864704090823]
28: [77.3176328086851, 28.5868248617023]
29: [77.3182693281101, 28.5870760168291]
30: [77.3189491289515, 28.5872144027488]
31: [77.3196465720807, 28.5872348005968]
32: [77.3203353529787, 28.5871364411232]
33: [77.3209894938284, 28.586923033695]
34: [77.3215843232843, 28.5866026264441]
35: [77.3220974069686, 28.5861873028259]
36: [77.3225093935983, 28.5856927260206]
37: [77.3225664934705, 28.5856079845453]
38: [77.3228872441399, 28.5851424706174]
39: [77.3229061908016, 28.5851146511175]
40: [77.3230832908016, 28.5848515551344]
41: [77.3230881207472, 28.5848443581286]
42: [77.3231781166303, 28.5847098502002]
43: [77.323446095652, 28.5843123375713]
44: [77.3234717363683, 28.5842736801988]
45: [77.3235118984168, 28.5842121304439]
46: [77.3235840447453, 28.5841023734735]
47: [77.3235915443226, 28.58409090887]
48: [77.3236961451071, 28.5839302270198]
49: [77.3237737551627, 28.583819662941]
50: [77.3238866807224, 28.5836467934511]
51: [77.3238876243264, 28.5836452370461]
52: [77.324062128466, 28.5834517035013]
53: [77.3240813468247, 28.5834301986331]
54: [77.3240899360941, 28.5834205012508]
55: [77.3243664260906, 28.583121095907]
56: [77.324491906218, 28.582991751284]
57: [77.324711712, 28.582767248677]
58: [77.3250548205034, 28.5824192044994]
59: [77.3254637425316, 28.5819105358818]
60: [77.3255051861168, 28.5818283912139]
61: [77.3257188108284, 28.5815430982179]
62: [77.3259829788037, 28.5809725010994]
63: [77.3261158784638, 28.5803677050564]
64: [77.3261124456205, 28.5797517556679]
65: [77.3259728110836, 28.5791481239118]
66: [77.325702295676, 28.5785798117929]
67: [77.3253112074823, 28.5780684757823]
68: [77.3248144490552, 28.5776336014789]
69: [77.3245455110887, 28.5774402324851]
70: [77.324156362399, 28.5771599526946]
71: [77.3238773251698, 28.5769569674546]
72: [77.3238713373791, 28.5769526212163]
73: [77.3232541373791, 28.5765056108708]
74: [77.3232439362228, 28.5764982502246]
75: [77.3231493287201, 28.5764302414364]
76: [77.3224466192584, 28.5759136561573]
77: [77.3218928687792, 28.5754998422928]
78: [77.3217876587099, 28.575420730439]
79: [77.321480935462, 28.5751875100452]
80: [77.3214762353388, 28.5751839424892]
81: [77.3213982353388, 28.5751248411469]
82: [77.321301501051, 28.575054102116]
83: [77.3210544957991, 28.574879816648]
84: [77.3209585813763, 28.5748117436617]
85: [77.3203258792742, 28.5744519640989]
86: [77.3196216330464, 28.5742160123037]
87: [77.3188768318821, 28.5741142717995]
88: [77.3181242495235, 28.574151219899]
89: [77.3173970021116, 28.5743252306189]
90: [77.3167270909645, 28.5746286462543]
91: [77.3161439944134, 28.575048114456]
92: [77.3160540944134, 28.5751280161406]
93: [77.316040888592, 28.5751398149628]
94: [77.315783688592, 28.5753708198074]
95: [77.3157579399708, 28.5753941855939]
96: [77.3157194774409, 28.5754294504801]
97: [77.315434874522, 28.5756868704995]
98: [77.3153668865054, 28.5757500845912]
99: [77.3150787657411, 28.5760254779662]
100: [77.3150466577491, 28.5760559767073]
101: [77.3150183803913, 28.5760831531212]
102: [77.3147830803913, 28.5763119577216]
103: [77.3147377300509, 28.5763569087799]
104: [77.3144199300509, 28.576678015099]
105: [77.3144045472628, 28.5766936611102]
106: [77.3142330467423, 28.5768692555325]
107: [77.3141728695228, 28.5769308266132]
108: [77.3136932550995, 28.5774036670324]
109: [77.3133697600588, 28.5777223744358]
110: [77.3133485389126, 28.5777434701607]
111: [77.3130841278571, 28.5780086929006]
112: [77.312941819635, 28.5781425247981]
113: [77.312895730246, 28.5781867023671]
114: [77.3126357751398, 28.5784406732737]
